time,close,open,high,low
2022-05-25,1268.43,1233.38,1268.43,1233.38
2022-05-26,1268.57,1268.43,1278.11,1261.55
2022-05-27,1285.45,1268.57,1286.99,1268.57
2022-05-30,1293.92,1285.45,1296.22,1281.27
2022-05-31,1292.68,1293.92,1297.64,1280.44
2022-06-01,1299.52,1292.68,1302.25,1286.01
2022-06-02,1288.62,1299.52,1302.66,1283.32
2022-06-03,1287.98,1288.62,1292.78,1276.37
2022-06-06,1290.01,1287.98,1302.14,1281.95
2022-06-07,1291.35,1290.01,1291.35,1260.92
2022-06-08,1307.91,1291.35,1316.78,1291.35
2022-06-09,1307.80,1307.91,1312.44,1300.85
2022-06-10,1284.08,1307.80,1309.59,1284.08
2022-06-13,1227.04,1284.08,1284.08,1226.01
2022-06-14,1230.31,1227.04,1239.36,1211.13
2022-06-15,1213.93,1230.31,1235.56,1195.19
2022-06-16,1236.63,1213.93,1246.32,1213.93
2022-06-17,1217.30,1236.63,1236.63,1191.92
2022-06-20,1180.40,1218.37,1221.60,1180.40
2022-06-21,1172.47,1180.40,1189.97,1162.94
2022-06-22,1169.27,1172.47,1185.86,1162.98
2022-06-23,1188.88,1169.27,1188.88,1162.06
2022-06-24,1185.48,1188.88,1196.85,1185.48
2022-06-27,1202.82,1185.48,1203.51,1185.48
2022-06-28,1218.10,1202.82,1221.74,1198.99
2022-06-29,1218.09,1218.10,1219.58,1207.38
2022-06-30,1197.60,1218.09,1220.51,1197.60
2022-07-01,1198.90,1197.60,1202.41,1170.95
2022-07-04,1195.53,1206.47,1208.96,1192.63
2022-07-05,1181.29,1195.53,1200.99,1181.29
2022-07-06,1149.61,1181.29,1181.29,1147.63
2022-07-07,1166.48,1149.61,1166.48,1142.80
2022-07-08,1171.31,1166.48,1177.18,1164.23
2022-07-11,1155.29,1171.31,1171.31,1144.55
2022-07-12,1174.82,1155.29,1174.82,1153.55
2022-07-13,1173.92,1173.46,1182.21,1170.92
2022-07-14,1182.17,1173.92,1182.17,1170.04
2022-07-15,1179.25,1182.17,1189.66,1178.12
2022-07-18,1176.49,1179.25,1184.93,1174.70
2022-07-19,1178.33,1176.49,1180.46,1168.99
2022-07-20,1194.14,1178.33,1198.63,1178.33
2022-07-21,1198.47,1194.14,1201.91,1194.14
2022-07-22,1194.76,1198.47,1202.69,1194.76
2022-07-25,1188.50,1191.43,1198.16,1184.32
2022-07-26,1185.07,1188.50,1194.15,1184.44
2022-07-27,1191.04,1185.07,1191.04,1178.58
2022-07-28,1208.12,1191.04,1214.03,1191.04
2022-07-29,1206.33,1208.12,1217.84,1206.33
2022-08-01,1231.35,1206.33,1231.35,1206.33
2022-08-02,1241.62,1231.35,1241.91,1224.11
2022-08-03,1249.76,1241.62,1250.20,1232.41
2022-08-04,1254.15,1249.76,1257.38,1247.38
2022-08-05,1252.74,1250.25,1253.75,1245.05
2022-08-08,1256.75,1252.36,1258.84,1252.04
2022-08-09,1258.85,1256.75,1263.14,1252.84
2022-08-10,1256.50,1258.85,1260.36,1253.89
2022-08-11,1252.07,1256.50,1268.03,1245.85
2022-08-12,1262.33,1252.07,1262.33,1248.65
2022-08-15,1274.20,1262.33,1274.24,1262.33
2022-08-16,1274.69,1274.20,1275.93,1271.11
2022-08-17,1275.28,1274.69,1280.61,1271.97
2022-08-18,1273.66,1275.28,1283.15,1268.64
2022-08-19,1269.18,1273.66,1280.00,1263.45
2022-08-22,1260.43,1269.18,1270.57,1255.83
2022-08-23,1270.81,1260.43,1270.81,1253.45
2022-08-24,1277.16,1270.81,1280.36,1270.81
2022-08-25,1288.88,1277.16,1289.18,1277.16
2022-08-26,1282.57,1291.29,1295.12,1280.05
2022-08-29,1270.80,1282.57,1282.57,1249.17
2022-08-30,1279.39,1270.80,1287.65,1270.80
2022-08-31,1280.51,1279.39,1285.29,1274.99
2022-09-05,1277.35,1280.51,1285.70,1275.35
2022-09-06,1277.40,1279.58,1286.92,1277.40
2022-09-07,1243.17,1277.40,1277.40,1243.17
2022-09-08,1234.60,1243.17,1251.36,1234.60
2022-09-09,1248.78,1234.60,1248.78,1228.54
2022-09-12,1249.62,1248.78,1257.80,1248.78
2022-09-13,1248.40,1249.62,1252.35,1243.87
2022-09-14,1240.77,1248.40,1248.40,1228.51
2022-09-15,1245.66,1240.77,1250.93,1240.77
2022-09-16,1234.03,1245.66,1246.17,1230.37
2022-09-19,1205.43,1234.03,1234.03,1202.07
2022-09-20,1218.93,1212.08,1218.93,1199.71
2022-09-21,1210.55,1218.93,1218.93,1204.68
2022-09-22,1214.70,1210.55,1214.70,1196.64
2022-09-23,1203.28,1214.70,1216.59,1201.45
2022-09-26,1174.35,1203.28,1203.28,1159.12
2022-09-27,1166.54,1174.35,1180.75,1166.44
2022-09-28,1143.62,1166.54,1166.54,1142.79
2022-09-29,1126.07,1143.62,1159.49,1126.07
2022-09-30,1132.11,1126.07,1135.47,1099.44
2022-10-03,1086.44,1132.11,1132.11,1079.86
2022-10-04,1078.14,1086.44,1100.42,1069.74
2022-10-05,1104.26,1078.14,1110.21,1078.14
2022-10-06,1074.52,1104.26,1106.97,1072.57
2022-10-07,1035.91,1074.52,1074.52,1022.38
2022-10-10,1042.48,1035.91,1051.02,1012.94
2022-10-11,1006.20,1042.48,1042.48,998.64
2022-10-12,1034.81,1006.20,1039.44,1002.89
2022-10-13,1050.99,1034.81,1050.99,1025.04
2022-10-14,1061.85,1050.99,1068.12,1050.99
2022-10-17,1051.58,1061.85,1061.85,1033.59
2022-10-18,1063.66,1051.58,1071.74,1051.58
2022-10-19,1060.07,1063.66,1065.99,1052.29
2022-10-20,1058.45,1056.14,1065.28,1048.21
2022-10-21,1019.82,1058.45,1059.09,1013.69
2022-10-24,986.15,1019.82,1023.51,977.41
2022-10-25,997.70,986.15,1011.39,962.45
2022-10-26,993.36,997.70,1004.55,984.71
2022-10-27,1028.01,993.36,1028.01,990.48
